GEOID,NAME,pop,asian,chinese,ch_pct,NEAR_DIST,LOCALE,STATEFP,LOC_NAME,taiwan,cmb_asian,cmb_chns,Shape_Length,Shape_Area
42133020523,Census Tract 205.23; York County; Pennsylvania,2100,0,0,0,0.5,22,42,Midsize Suburban,0,0,0,0.075700474301777,0.000208852727181
42015951200,Census Tract 9512; Bradford County; Pennsylvania,4852,19,0,0,16.0,42,42,Distant Rural,0,34,0,1.057231709091579,0.041586680930992
42015950900,Census Tract 9509; Bradford County; Pennsylvania,5349,20,0,0,2.2,41,42,Fringe Rural,0,21,0,0.869262255251118,0.025381243452279
42001031700,Census Tract 317; Adams County; Pennsylvania,2973,0,0,0,12.3,42,42,Distant Rural,0,4,0,0.501884736372482,0.010868853319656
42013010500,Census Tract 105; Blair County; Pennsylvania,4407,0,0,0,4.7,41,42,Fringe Rural,0,24,0,0.487778751457434,0.008102544374584
42013100700,Census Tract 1007; Blair County; Pennsylvania,2555,0,0,0,0.3,13,42,Small City,0,27,0,0.056928245711472,0.000155418411915
42013101700,Census Tract 1017; Blair County; Pennsylvania,3625,0,0,0,1.1,13,42,Small City,0,47,0,0.058051990306304,0.000122190489884
42013101900,Census Tract 1019; Blair County; Pennsylvania,1390,5,0,0,0.8,13,42,Small City,0,5,0,0.043608106047883,0.000061295400062
42013010800,Census Tract 108; Blair County; Pennsylvania,3451,0,0,0,13.7,42,42,Distant Rural,0,0,0,0.744792685008951,0.017485944003506
42013010102,Census Tract 101.02; Blair County; Pennsylvania,2966,3,0,0,0.9,31,42,Fringe Town,0,3,0,0.117864895318557,0.000265710528515
42011010304,Census Tract 103.04; Berks County; Pennsylvania,6682,39,0,0,1.2,41,42,Fringe Rural,0,132,12,0.471945064231416,0.005496592079771
42011010201,Census Tract 102.01; Berks County; Pennsylvania,4495,0,0,0,5.5,41,42,Fringe Rural,0,0,0,0.310383985793735,0.005990230500076
42011012400,Census Tract 124; Berks County; Pennsylvania,8018,53,0,0,1.9,21,42,Large Suburban,0,250,0,0.251979963413624,0.001539638415848
42011000800,Census Tract 8; Berks County; Pennsylvania,4989,0,0,0,1.0,13,42,Small City,0,0,0,0.024408730342072,0.000031409929113
42011000700,Census Tract 7; Berks County; Pennsylvania,4740,0,0,0,1.4,13,42,Small City,0,0,0,0.040707952657053,0.000083412711716
42011002200,Census Tract 22; Berks County; Pennsylvania,2544,0,0,0,0.9,13,42,Small City,0,0,0,0.033926590137287,0.000060279065217
42011010902,Census Tract 109.02; Berks County; Pennsylvania,4288,291,0,0,0.9,21,42,Large Suburban,0,291,0,0.074532589688594,0.000338207257153
42011010202,Census Tract 102.02; Berks County; Pennsylvania,5641,28,0,0,7.0,41,42,Fringe Rural,0,46,0,0.439994551740996,0.010158310751047
42071014401,Census Tract 144.01; Lancaster County; Pennsylvania,7039,0,0,0,5.2,41,42,Fringe Rural,0,41,0,0.342880447853666,0.005462249731125
